id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total
9224,Rostyslav Pevtsov,AZE,male,4/15/1987,1.87,74,triathlon,0,0,0,0
9225,Roukaya Moussa Mahamane,NIG,female,1/13/1997,1.63,47,aquatics,0,0,0,0
9226,Rovshan Bayramov,AZE,male,5/7/1987,1.6,59,wrestling,0,0,0,0
9227,Rowie Webster,AUS,female,12/27/1987,1.78,80,aquatics,0,0,0,0
9228,Roxana Cogianu,ROU,female,9/21/1986,1.8,72,rowing,0,0,1,1
9229,Roxana Gomez,CUB,female,1/7/1999,1.69,49,athletics,0,0,0,0
9230,Roxanne Barker,RSA,female,5/6/1991,1.8,76,football,0,0,0,0
9231,Roxroy Cato,JAM,male,6/5/1988,1.83,76,athletics,0,0,0,0
9232,Roy Krishna,FIJ,male,8/30/1987,1.7,70,football,0,0,0,0
9233,Roy Meyer,NED,male,6/4/1991,1.86,122,judo,0,0,0,0
9234,Roy Schmidt,GER,male,9/30/1991,1.79,77,athletics,0,0,0,0
9235,Rozaliya Nasretdinova,RUS,female,2/10/1997,1.8,66,aquatics,0,0,0,0
9236,Ruaridh McConnochie,GBR,male,10/23/1991,1.9,93,rugby sevens,0,1,0,1
9237,Ruben Aleksanyan,ARM,male,3/14/1990,1.8,152,weightlifting,0,0,0,0
9238,Ruben Limardo Gascon,VEN,male,8/3/1985,1.75,75,fencing,0,0,0,0
9239,Ruben Scheire,BEL,male,12/6/1991,1.75,62,cycling,0,0,0,0
9240,Ruben Voisard Rezola,ARG,male,4/21/1991,1.74,80,canoe,0,0,0,0
9241,Rubens Donizete Valeriano,BRA,male,8/14/1979,1.73,69,cycling,0,0,0,0
9242,Ruby Harrold,GBR,female,6/4/1996,1.62,56,gymnastics,0,0,0,0
9243,Ruby Tew,NZL,female,3/7/1994,1.81,76,rowing,0,0,0,0
9244,Ruby Tui,NZL,female,12/13/1991,1.77,71,rugby sevens,0,1,0,1
9245,Ruda Franco,BRA,male,7/25/1986,1.85,90,aquatics,0,0,0,0
9246,Ruddy Zang Milama,GAB,female,6/6/1987,1.56,53,athletics,0,0,0,0
9247,Rudi van Houts,NED,male,1/16/1984,1.77,64,cycling,0,0,0,0
9248,Rudo Neshamba,ZIM,female,2/10/1992,1.64,53,football,0,0,0,0
9249,Rudolf Knijnenburg,BOL,male,5/18/1982,1.76,82,shooting,0,0,0,0
9250,Rudy Fernandez,ESP,male,4/4/1985,1.96,84,basketball,0,0,1,1
9251,Rudy Gobert,FRA,male,6/26/1992,2.15,113,basketball,0,0,0,0
9252,Rudy Verhoeff,CAN,male,6/24/1989,1.98,88,volleyball,0,0,0,0
9253,Rudy Winkler,USA,male,12/6/1994,1.88,108,athletics,0,0,0,0
9254,Rufat Huseynov,AZE,male,4/25/1997,1.7,81.5,boxing,0,0,0,0
9255,Ruggero Pertile,ITA,male,8/8/1974,1.65,55,athletics,0,0,0,0
9256,Ruggero Tita,ITA,male,3/20/1992,1.74,71,sailing,0,0,0,0
9257,Rui Alberto Faria da Costa,POR,male,10/5/1986,1.83,68,cycling,0,0,0,0
9258,Rui Braganca,POR,male,12/26/1991,1.8,60,taekwondo,0,0,0,0
9259,Rui Machida,JPN,female,3/8/1993,1.61,57,basketball,0,0,0,0
9260,Rui Pedro Silva,POR,male,5/6/1981,1.73,60,athletics,0,0,0,0
9261,Rui Xu,CHN,female,6/6/1995,1.7,63,wrestling,0,0,0,0
9262,Rui Zhang,CHN,female,1/17/1989,1.72,62,football,0,0,0,0
9263,Rumen Dimitrov,BUL,male,9/19/1986,1.92,80,athletics,0,0,0,0
9264,Runa Imai,JPN,female,8/15/2000,1.63,50,aquatics,0,0,0,0
9265,Rune Hermans,BEL,female,5/9/1999,1.59,48,gymnastics,0,0,0,0
9266,Ruolin Chen,CHN,female,12/12/1992,1.6,49,aquatics,1,0,0,1
9267,Ruoqi Hui,CHN,female,3/4/1991,1.92,78,volleyball,1,0,0,1
9268,Rupinder Pal Singh,IND,male,11/11/1990,1.93,93,hockey,0,0,0,0
9269,Rushana Nurjavova,TKM,female,6/22/1994,1.65,57,judo,0,0,0,0
9270,Rusheen McDonald,JAM,male,8/17/1992,1.75,81,athletics,0,1,0,1
9271,Rushlee Buchanan,NZL,female,1/20/1988,1.7,63,cycling,0,0,0,0
9272,Rushwal Samaai,RSA,male,9/25/1991,1.85,75,athletics,0,0,0,0
9273,Rusila Nagasau,FIJ,female,8/4/1987,1.75,80,rugby sevens,0,0,0,0
9274,Ruslan Dmytrenko,UKR,male,3/22/1986,1.8,67,athletics,0,0,0,0
9275,Ruslan Kurbanov,UZB,male,2/10/1993,1.83,65,athletics,0,0,0,0
9276,Ruslan Lunev,AZE,male,7/25/1989,1.83,80,shooting,0,0,0,0
